20241120004329;2;2024-11-20;123
20241120004334;2;2024-11-20;123
20241120004338;-2;2024-11-20;123
20241120004340;-2;2024-11-20;123
20241120004830;1;2024-11-20;5
20241120004837;-1;2024-11-20;5
20241120004845;2;2024-11-20;5
20241120004848;2;2024-11-20;5
20241120004850;2;2024-11-20;5
20241120004853;2;2024-11-20;1234
20241120004854;2;2024-11-20;123
20241120004855;2;2024-11-20;P002
20241120004856;2;2024-11-20;P001
20241120005113;3;2024-11-20;6
20241120010726;2;2024-11-20;55
20241120012723;2;2024-11-20;77
20241120014253;-2;2024-11-20;77
20241120023546;2;2024-11-20;77
20241120024656;1;2024-11-20;324
20241120025808;1;2024-11-20;213132
20241120025810;-1;2024-11-20;213132
20241120030010;10;2024-11-20;7855
20241120030017;-1;2024-11-20;7855
20241120030022;1;2024-11-20;7855
